model_name,kv_cache_type,context_length_target,base_vram_mb,peak_vram_mb,dynamic_vram_mb,ttft_ms,itl_ms,throughput_tokens_per_s,perplexity,exact_match,f1_score,kv_cache_compression_ratio,gpu_memory_efficiency_index
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17944.62,3352.86,254.15,17.76,47.67,3.6871,1.0,1.0,100.0%,0.01422
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17892.05,3300.28,258.91,17.22,47.93,3.2263,1.0,1.0,100.0%,0.01452
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17975.94,3384.17,224.28,17.64,47.53,3.4927,1.0,1.0,100.0%,0.01405
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17961.07,3369.3,196.26,13.13,65.92,3.6854,1.0,1.0,100.0%,0.01957
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17919.79,3328.02,211.79,14.72,54.62,3.9716,1.0,1.0,100.0%,0.01641
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17936.83,3345.06,215.1,15.38,56.77,3.4721,1.0,1.0,100.0%,0.01697
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17990.88,3399.12,230.63,13.46,56.15,3.4686,1.0,1.0,100.0%,0.01652
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18079.24,3487.47,212.28,14.07,63.58,3.9387,0.0,0.0,100.0%,0.01823
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17983.96,3392.19,246.24,15.1,51.07,3.3877,1.0,1.0,100.0%,0.01506
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17958.98,3367.21,219.18,16.13,55.28,3.8653,1.0,1.0,100.0%,0.01642
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17979.79,3388.02,197.09,15.67,57.14,3.7385,1.0,1.0,100.0%,0.01687
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17893.91,3302.14,210.25,12.35,67.33,3.7922,0.0,0.0,100.0%,0.02039
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17909.98,3318.21,241.39,16.08,51.09,3.0547,1.0,1.0,100.0%,0.0154
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17958.47,3366.7,200.89,17.01,52.05,3.3719,1.0,1.0,100.0%,0.01546
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17951.34,3359.57,233.65,14.4,53.41,3.5796,0.0,0.0,100.0%,0.0159
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18041.95,3450.19,258.6,13.12,60.85,3.5388,1.0,1.0,100.0%,0.01764
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17939.26,3347.49,246.58,12.06,69.84,3.9032,0.0,0.0,100.0%,0.02086
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17975.24,3383.47,189.95,13.72,64.82,3.617,1.0,1.0,100.0%,0.01916
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17959.41,3367.64,187.87,16.5,53.53,3.8877,1.0,1.0,100.0%,0.0159
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17945.96,3354.19,213.0,17.35,52.15,3.6212,1.0,1.0,100.0%,0.01555
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17944.71,3352.94,234.86,16.3,54.86,3.9725,0.0,0.0,100.0%,0.01636
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18008.3,3416.54,238.77,17.06,47.95,3.6418,1.0,1.0,100.0%,0.01404
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17897.47,3305.7,183.5,16.11,56.47,3.9651,1.0,1.0,100.0%,0.01708
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18001.53,3409.77,226.2,17.66,50.35,3.5799,1.0,1.0,100.0%,0.01477
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17978.7,3386.93,227.95,17.23,48.47,3.9228,1.0,1.0,100.0%,0.01431
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17983.53,3391.77,182.63,17.89,51.26,3.3352,1.0,1.0,100.0%,0.01511
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18057.45,3465.68,204.37,13.04,67.5,3.4518,1.0,1.0,100.0%,0.01948
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17934.39,3342.62,260.64,15.51,52.68,3.6889,0.0,0.0,100.0%,0.01576
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18078.4,3486.64,218.59,15.03,56.2,3.1882,1.0,1.0,100.0%,0.01612
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17982.37,3390.6,253.53,16.02,49.04,3.5444,1.0,1.0,100.0%,0.01446
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18001.44,3409.67,241.11,15.28,54.54,3.0047,0.0,0.0,100.0%,0.016
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17933.2,3341.44,206.2,15.71,56.28,3.1822,1.0,1.0,100.0%,0.01684
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18061.19,3469.42,249.13,12.77,66.96,3.201,0.0,0.0,100.0%,0.0193
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18057.48,3465.71,218.7,12.28,71.41,3.9003,1.0,1.0,100.0%,0.0206
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18005.03,3413.26,181.43,16.83,53.68,3.9881,1.0,1.0,100.0%,0.01573
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17983.07,3391.3,216.28,16.83,53.53,3.3038,1.0,1.0,100.0%,0.01578
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17906.34,3314.57,277.8,14.48,55.56,3.1861,1.0,1.0,100.0%,0.01676
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18043.69,3451.92,243.49,13.69,62.21,3.5803,1.0,1.0,100.0%,0.01802
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18038.32,3446.55,221.83,17.28,49.12,3.0985,1.0,1.0,100.0%,0.01425
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17998.96,3407.19,228.18,12.43,68.83,3.8038,1.0,1.0,100.0%,0.0202
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18047.52,3455.75,272.44,17.44,46.22,3.6374,1.0,1.0,100.0%,0.01338
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18080.57,3488.8,181.32,16.97,54.2,3.668,1.0,1.0,100.0%,0.01554
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18072.86,3481.09,210.19,15.14,53.13,3.9596,1.0,1.0,100.0%,0.01526
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17943.62,3351.85,255.84,15.28,55.46,3.6101,1.0,1.0,100.0%,0.01655
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18067.47,3475.7,191.92,16.4,51.42,3.7695,1.0,1.0,100.0%,0.01479
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18011.77,3420.0,224.49,14.41,54.49,3.7283,1.0,1.0,100.0%,0.01593
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18065.66,3473.89,247.12,17.61,50.56,3.6478,1.0,1.0,100.0%,0.01455
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18025.46,3433.7,279.95,16.08,53.5,3.6392,1.0,1.0,100.0%,0.01558
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17983.06,3391.3,224.54,13.12,65.78,3.5714,0.0,0.0,100.0%,0.0194
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17982.45,3390.69,265.92,13.29,61.03,3.7074,1.0,1.0,100.0%,0.018
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17942.0,3350.23,235.98,17.22,50.94,3.8903,0.0,0.0,100.0%,0.01521
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17923.45,3331.69,213.26,13.92,61.47,3.8708,0.0,0.0,100.0%,0.01845
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18038.21,3446.45,186.17,15.79,57.98,3.4405,1.0,1.0,100.0%,0.01682
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17967.96,3376.2,219.66,17.01,50.71,3.6657,1.0,1.0,100.0%,0.01502
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17966.21,3374.44,228.9,14.07,53.61,3.9477,1.0,1.0,100.0%,0.01589
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17982.03,3390.26,228.93,14.23,57.73,3.4043,0.0,0.0,100.0%,0.01703
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18051.89,3460.12,209.75,15.21,56.92,3.4478,1.0,1.0,100.0%,0.01645
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17997.17,3405.4,198.62,16.9,50.46,3.5784,1.0,1.0,100.0%,0.01482
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17937.41,3345.64,266.81,16.26,54.27,3.7729,0.0,0.0,100.0%,0.01622
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18063.49,3471.72,250.88,13.96,54.91,3.0928,0.0,0.0,100.0%,0.01582
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17987.51,3395.74,256.43,13.46,59.26,3.3679,1.0,1.0,100.0%,0.01745
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17972.18,3380.42,223.45,16.5,49.44,3.9868,1.0,1.0,100.0%,0.01463
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17916.4,3324.63,260.05,13.59,63.67,3.2504,1.0,1.0,100.0%,0.01915
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18086.59,3494.83,268.77,17.43,50.16,3.7752,0.0,0.0,100.0%,0.01435
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17964.5,3372.73,245.11,16.5,53.22,3.6056,1.0,1.0,100.0%,0.01578
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18029.54,3437.77,225.28,14.45,55.3,3.26,1.0,1.0,100.0%,0.01609
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18058.1,3466.34,236.01,16.53,54.07,3.7252,1.0,1.0,100.0%,0.0156
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18072.46,3480.69,205.89,12.79,68.37,3.7139,1.0,1.0,100.0%,0.01964
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18064.99,3473.22,240.0,12.88,60.15,3.7978,1.0,1.0,100.0%,0.01732
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17972.27,3380.5,205.28,16.35,52.95,3.2985,1.0,1.0,100.0%,0.01566
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17968.77,3377.0,253.6,13.78,53.05,3.2817,1.0,1.0,100.0%,0.01571
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17936.79,3345.03,195.72,16.92,50.83,3.7683,1.0,1.0,100.0%,0.0152
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18085.58,3493.81,248.86,17.22,45.62,3.6334,1.0,1.0,100.0%,0.01306
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17979.21,3387.44,266.51,15.29,48.75,3.556,1.0,1.0,100.0%,0.01439
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17947.17,3355.4,218.49,13.96,58.69,3.5785,1.0,1.0,100.0%,0.01749
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17989.58,3397.81,207.09,16.77,54.11,3.3029,1.0,1.0,100.0%,0.01592
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18013.92,3422.16,188.12,15.33,58.29,3.6142,1.0,1.0,100.0%,0.01703
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17899.03,3307.26,227.72,17.58,46.79,3.6107,1.0,1.0,100.0%,0.01415
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18006.46,3414.69,208.51,12.04,71.57,3.1712,1.0,1.0,100.0%,0.02096
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18012.7,3420.94,252.02,14.04,58.43,3.9987,1.0,1.0,100.0%,0.01708
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17939.75,3347.98,230.97,16.15,50.88,3.9136,1.0,1.0,100.0%,0.0152
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18054.97,3463.2,262.92,12.8,60.19,3.8129,0.0,0.0,100.0%,0.01738
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17964.24,3372.47,257.99,14.49,58.66,3.9681,1.0,1.0,100.0%,0.01739
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18033.76,3441.99,242.23,13.23,64.82,3.7524,1.0,1.0,100.0%,0.01883
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17896.69,3304.92,198.31,14.01,60.97,3.4976,1.0,1.0,100.0%,0.01845
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17937.76,3345.99,210.43,16.06,49.34,3.8967,,,100.0%,0.01475
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17964.38,3372.61,266.53,17.3,49.73,3.0476,,,100.0%,0.01474
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17993.54,3401.77,233.52,16.87,50.98,3.0081,,,100.0%,0.01499
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17946.69,3354.92,192.46,14.78,58.2,3.8491,,,100.0%,0.01735
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17972.31,3380.54,212.8,13.74,62.84,3.1061,,,100.0%,0.01859
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18057.45,3465.68,208.38,17.74,51.64,3.727,,,100.0%,0.0149
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18087.9,3496.14,180.53,14.66,54.73,3.4084,,,100.0%,0.01565
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17966.22,3374.46,264.45,14.79,56.19,3.1069,,,100.0%,0.01665
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17930.71,3338.94,259.31,15.34,54.27,3.6019,,,100.0%,0.01625
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17904.95,3313.18,200.6,17.61,51.14,3.9506,,,100.0%,0.01544
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17912.48,3320.71,209.93,17.85,49.74,3.6918,,,100.0%,0.01498
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17975.75,3383.99,250.83,12.65,66.37,3.0247,,,100.0%,0.01961
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17968.4,3376.63,203.03,17.89,46.04,3.0778,,,100.0%,0.01364
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17991.16,3399.4,194.43,15.53,52.63,3.1679,,,100.0%,0.01548
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17906.51,3314.74,230.0,15.61,52.23,3.5401,,,100.0%,0.01576
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17977.79,3386.02,212.93,15.48,50.87,3.2837,,,100.0%,0.01502
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17948.14,3356.37,268.24,16.0,50.68,3.7772,,,100.0%,0.0151
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18011.41,3419.65,254.41,17.88,49.96,3.2939,,,100.0%,0.01461
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17992.87,3401.11,257.29,16.49,50.42,3.9303,,,100.0%,0.01482
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18060.05,3468.28,208.51,14.55,58.82,3.0332,,,100.0%,0.01696
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18064.57,3472.8,250.46,12.49,63.68,3.641,,,100.0%,0.01834
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18018.55,3426.78,274.52,15.69,55.98,3.2227,,,100.0%,0.01633
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17990.55,3398.79,209.59,17.06,52.02,3.6079,,,100.0%,0.0153
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17971.85,3380.08,245.08,15.69,55.04,3.0501,,,100.0%,0.01628
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17977.59,3385.82,253.73,17.66,49.52,3.1166,,,100.0%,0.01462
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18012.57,3420.8,254.84,12.86,66.23,3.265,,,100.0%,0.01936
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18067.39,3475.63,254.13,15.22,49.73,3.3987,,,100.0%,0.01431
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,18011.14,3419.38,202.36,16.87,51.94,3.4666,,,100.0%,0.01519
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17991.62,3399.85,234.37,12.49,62.32,3.0086,,,100.0%,0.01833
vinai/PhoGPT-7B5-Instruct,BF16,4000,14591.77,17914.73,3322.96,276.29,15.82,48.97,3.1956,,,100.0%,0.01474
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21069.17,6526.44,190.82,15.83,55.49,3.5327,1.0,1.0,100.0%,0.0085
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21150.09,6607.36,253.66,17.26,51.51,3.1467,1.0,1.0,100.0%,0.0078
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21153.5,6610.78,202.7,16.82,49.77,3.8615,1.0,1.0,100.0%,0.00753
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21083.55,6540.83,197.64,15.3,54.24,3.7148,1.0,1.0,100.0%,0.00829
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21119.58,6576.85,191.31,16.74,54.31,3.805,1.0,1.0,100.0%,0.00826
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21063.44,6520.71,217.95,13.79,62.16,3.8748,1.0,1.0,100.0%,0.00953
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21080.07,6537.35,207.7,15.59,53.88,3.5654,1.0,1.0,100.0%,0.00824
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21174.65,6631.93,236.3,14.56,52.35,3.8574,1.0,1.0,100.0%,0.00789
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21049.53,6506.81,254.27,17.2,48.13,3.6665,1.0,1.0,100.0%,0.0074
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21214.89,6672.16,207.29,12.66,63.68,3.5112,1.0,1.0,100.0%,0.00954
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21221.82,6679.09,181.26,14.37,60.1,3.5075,1.0,1.0,100.0%,0.009
vinai/PhoGPT-7B5-Instruct,BF16,8000,14542.72,21240.84,6698.11,251.18,16.83,51.34,3.5006,1.0,1.0,100.0%,0.00766
