model,kv_cache_type,context_length,peak_memory_mb,latency_ms_per_token,throughput_tokens_per_s,perplexity,status,sample_id,output_path,ppl_loss,ppl_tokens,ppl_status,ppl_error,repetition_flag,gibberish_flag,repeated_ngram_ratio,special_char_ratio,output_length,quality_warning,source_file
qwen2.5:7b-instruct-fp16,FP16,4000,70004.12,7.83,127.72,1.6198,OK,qwen2.5:7b-instruct-fp16__FP16__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.482309,512.0,OK,,True,False,0.3548,0.0315,440.5,repetition,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,FP16,8000,70338.12,10.0,100.01,1.4396,OK,qwen2.5:7b-instruct-fp16__FP16__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.364397,512.0,OK,,True,False,0.3438,0.0385,429.5,repetition,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,FP16,16000,71544.12,15.84,63.12,1.5134,OK,qwen2.5:7b-instruct-fp16__FP16__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.414361,512.0,OK,,True,False,0.2632,0.0317,469.0,repetition,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,FP8,4000,70420.12,7.94,125.95,3.4267,OK,qwen2.5:7b-instruct-fp16__FP8__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.231593,507.0,OK,,True,False,0.3745,0.0335,438.0,repetition,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,FP8,8000,70752.12,11.75,85.09,6.586,OK,qwen2.5:7b-instruct-fp16__FP8__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.884946,323.0,OK,,True,True,0.2242,0.2959,203.75,repetition;gibberish,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,FP8,16000,71978.12,16.01,62.47,2.5638,OK,qwen2.5:7b-instruct-fp16__FP8__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.941509,452.0,OK,,True,True,0.4833,0.1131,192.75,repetition;gibberish,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,HQQ,4000,70188.12,12.92,77.38,3.2004,OK,qwen2.5:7b-instruct-fp16__HQQ__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.163274,508.0,OK,,True,True,0.6129,0.011,170.5,repetition;gibberish,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,HQQ,8000,70688.12,20.89,47.86,11.7677,OK,qwen2.5:7b-instruct-fp16__HQQ__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,2.465358,349.0,OK,,True,True,0.3145,0.0207,175.5,repetition;gibberish,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,HQQ,16000,72090.12,50.03,19.99,18.9821,OK,qwen2.5:7b-instruct-fp16__HQQ__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,2.943498,483.0,OK,,True,False,0.2367,0.0198,250.25,repetition,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,PolarQuant,4000,70532.12,8.04,124.45,3.4267,OK,qwen2.5:7b-instruct-fp16__PolarQuant__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.231593,507.0,OK,,True,False,0.3745,0.0335,438.0,repetition,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,PolarQuant,8000,70808.12,10.16,98.42,4.0582,OK,qwen2.5:7b-instruct-fp16__PolarQuant__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.400731,494.0,OK,,True,True,0.4321,0.1331,195.75,repetition;gibberish,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,PolarQuant,16000,71978.12,16.0,62.5,2.6307,OK,qwen2.5:7b-instruct-fp16__PolarQuant__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.967265,507.0,OK,,True,False,0.4498,0.008,318.25,repetition,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,TurboQuant,4000,70040.12,9.15,109.3,1.6357,OK,qwen2.5:7b-instruct-fp16__TurboQuant__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.492075,512.0,OK,,True,False,0.3595,0.0389,428.5,repetition,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,TurboQuant,8000,70356.12,12.19,82.05,1.3041,OK,qwen2.5:7b-instruct-fp16__TurboQuant__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.265495,512.0,OK,,True,False,0.4744,0.0296,403.25,repetition,template_log_real_run_all.csv
qwen2.5:7b-instruct-fp16,TurboQuant,16000,71564.12,19.87,50.33,1.4597,OK,qwen2.5:7b-instruct-fp16__TurboQuant__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.378204,512.0,OK,,True,False,0.3528,0.0381,444.25,repetition,template_log_real_run_all.csv
phi4:mini-reasoning,FP16,4000,69562.12,6.49,154.02,2.257,OK,phi4:mini-reasoning__FP16__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,0.814023,511.0,OK,,False,False,0.0799,0.0591,403.25,,template_log_real_run_all.csv
phi4:mini-reasoning,FP16,8000,69780.12,9.26,107.99,1.6809,OK,phi4:mini-reasoning__FP16__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,0.519351,512.0,OK,,True,False,0.2019,0.0387,446.5,repetition,template_log_real_run_all.csv
phi4:mini-reasoning,FP16,16000,70790.12,16.88,59.23,2.2228,OK,phi4:mini-reasoning__FP16__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,0.798758,509.0,OK,,False,False,0.1092,0.0351,403.5,,template_log_real_run_all.csv
phi4:mini-reasoning,FP8,4000,69996.12,5.34,187.36,2.7757,OK,phi4:mini-reasoning__FP8__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.020914,512.0,OK,,True,False,0.1518,0.0525,407.25,repetition,template_log_real_run_all.csv
phi4:mini-reasoning,FP8,8000,70194.12,6.92,144.51,2.8724,OK,phi4:mini-reasoning__FP8__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.055151,508.0,OK,,True,False,0.2086,0.0368,419.0,repetition,template_log_real_run_all.csv
phi4:mini-reasoning,FP8,16000,71204.12,11.28,88.65,2.7623,OK,phi4:mini-reasoning__FP8__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.016076,511.0,OK,,False,False,0.0609,0.0598,412.25,,template_log_real_run_all.csv
phi4:mini-reasoning,PolarQuant,4000,70508.12,5.27,189.71,2.7757,OK,phi4:mini-reasoning__PolarQuant__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.020914,512.0,OK,,True,False,0.1518,0.0525,407.25,repetition,template_log_real_run_all.csv
phi4:mini-reasoning,PolarQuant,8000,70514.12,6.83,146.51,2.8724,OK,phi4:mini-reasoning__PolarQuant__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.055151,508.0,OK,,True,False,0.2086,0.0368,419.0,repetition,template_log_real_run_all.csv
phi4:mini-reasoning,PolarQuant,16000,71224.12,11.24,88.94,2.7623,OK,phi4:mini-reasoning__PolarQuant__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.016076,511.0,OK,,False,False,0.0609,0.0598,412.25,,template_log_real_run_all.csv
gemma3:4b-it,FP16,4000,70104.12,7.15,139.88,,OK,gemma3:4b-it__FP16__4000,../../results/template_log_real_run_extra_generated.jsonl,,,,,,,,,,,template_log_real_run_all.csv
gemma3:4b-it,FP16,8000,70376.12,12.81,78.04,,OK,gemma3:4b-it__FP16__8000,../../results/template_log_real_run_extra_generated.jsonl,,,,,,,,,,,template_log_real_run_all.csv
gemma3:4b-it,FP16,16000,71342.12,12.06,82.9,,OK,gemma3:4b-it__FP16__16000,../../results/template_log_real_run_extra_generated.jsonl,,,,,,,,,,,template_log_real_run_all.csv
mistral:7b-instruct-v0.3-fp16,FP16,4000,69270.12,12.83,77.93,1.4057,OK,mistral:7b-instruct-v0.3-fp16__FP16__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.340538,512.0,OK,,True,False,0.1449,0.0737,193.0,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,FP16,8000,71844.12,22.96,43.56,1.3563,OK,mistral:7b-instruct-v0.3-fp16__FP16__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.304741,443.0,OK,,True,False,0.3231,0.0388,164.25,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,FP16,16000,,,,,"RUN_ERROR: THIS MODEL'S MAXIMUM CONTEXT LENGTH IS 26176 TOKENS. HOWEVER, YOU REQUESTED 0 OUTPUT TOKENS AND YOUR PROMPT CONTAINS AT LEAST 26177 INPUT TOKENS, FOR A TOTAL OF AT LEAST 26177 TOKENS. PLEASE REDUCE THE LENGTH OF THE INPUT PROMPT OR THE NUMBER OF REQUESTED OUTPUT TOKENS. (PARAMETER=INPUT_TOKENS, VALUE=26177)",mistral:7b-instruct-v0.3-fp16__FP16__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0.0,MISSING_TEXT,no matching JSONL record,False,False,,,,,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,FP8,4000,69704.12,12.89,77.61,1.3985,OK,mistral:7b-instruct-v0.3-fp16__FP8__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.335403,512.0,OK,,True,False,0.1963,0.0581,200.5,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,FP8,8000,72278.12,20.06,49.85,1.3997,OK,mistral:7b-instruct-v0.3-fp16__FP8__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.336287,512.0,OK,,True,False,0.38,0.0365,228.25,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,FP8,16000,,,,,"RUN_ERROR: THIS MODEL'S MAXIMUM CONTEXT LENGTH IS 26176 TOKENS. HOWEVER, YOU REQUESTED 0 OUTPUT TOKENS AND YOUR PROMPT CONTAINS AT LEAST 26177 INPUT TOKENS, FOR A TOTAL OF AT LEAST 26177 TOKENS. PLEASE REDUCE THE LENGTH OF THE INPUT PROMPT OR THE NUMBER OF REQUESTED OUTPUT TOKENS. (PARAMETER=INPUT_TOKENS, VALUE=26177)",mistral:7b-instruct-v0.3-fp16__FP8__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0.0,MISSING_TEXT,no matching JSONL record,False,False,,,,,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,HQQ,4000,70252.12,29.34,34.08,1.4199,OK,mistral:7b-instruct-v0.3-fp16__HQQ__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.350608,512.0,OK,,True,False,0.1595,0.0571,204.5,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,HQQ,8000,72612.12,61.22,16.34,1.295,OK,mistral:7b-instruct-v0.3-fp16__HQQ__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.258476,512.0,OK,,True,False,0.3413,0.0304,238.0,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,HQQ,16000,,,,,"RUN_ERROR: THIS MODEL'S MAXIMUM CONTEXT LENGTH IS 26176 TOKENS. HOWEVER, YOU REQUESTED 0 OUTPUT TOKENS AND YOUR PROMPT CONTAINS AT LEAST 26177 INPUT TOKENS, FOR A TOTAL OF AT LEAST 26177 TOKENS. PLEASE REDUCE THE LENGTH OF THE INPUT PROMPT OR THE NUMBER OF REQUESTED OUTPUT TOKENS. (PARAMETER=INPUT_TOKENS, VALUE=26177)",mistral:7b-instruct-v0.3-fp16__HQQ__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0.0,MISSING_TEXT,no matching JSONL record,False,False,,,,,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,PolarQuant,4000,69704.12,12.89,77.61,1.3985,OK,mistral:7b-instruct-v0.3-fp16__PolarQuant__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.335403,512.0,OK,,True,False,0.1963,0.0581,200.5,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,PolarQuant,8000,72278.12,20.09,49.78,1.3997,OK,mistral:7b-instruct-v0.3-fp16__PolarQuant__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.336287,512.0,OK,,True,False,0.38,0.0365,228.25,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,PolarQuant,16000,,,,,"RUN_ERROR: THIS MODEL'S MAXIMUM CONTEXT LENGTH IS 26176 TOKENS. HOWEVER, YOU REQUESTED 0 OUTPUT TOKENS AND YOUR PROMPT CONTAINS AT LEAST 26177 INPUT TOKENS, FOR A TOTAL OF AT LEAST 26177 TOKENS. PLEASE REDUCE THE LENGTH OF THE INPUT PROMPT OR THE NUMBER OF REQUESTED OUTPUT TOKENS. (PARAMETER=INPUT_TOKENS, VALUE=26177)",mistral:7b-instruct-v0.3-fp16__PolarQuant__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0.0,MISSING_TEXT,no matching JSONL record,False,False,,,,,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,TurboQuant,4000,69370.12,15.87,63.01,1.4815,OK,mistral:7b-instruct-v0.3-fp16__TurboQuant__4000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.393061,512.0,OK,,True,False,0.1257,0.0407,210.25,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,TurboQuant,8000,71946.12,27.93,35.8,1.3437,OK,mistral:7b-instruct-v0.3-fp16__TurboQuant__8000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,0.295412,446.0,OK,,True,False,0.2678,0.0364,171.5,repetition,template_log_real_run_mistral_final_all.csv
mistral:7b-instruct-v0.3-fp16,TurboQuant,16000,,,,,"RUN_ERROR: THIS MODEL'S MAXIMUM CONTEXT LENGTH IS 26176 TOKENS. HOWEVER, YOU REQUESTED 0 OUTPUT TOKENS AND YOUR PROMPT CONTAINS AT LEAST 26177 INPUT TOKENS, FOR A TOTAL OF AT LEAST 26177 TOKENS. PLEASE REDUCE THE LENGTH OF THE INPUT PROMPT OR THE NUMBER OF REQUESTED OUTPUT TOKENS. (PARAMETER=INPUT_TOKENS, VALUE=26177)",mistral:7b-instruct-v0.3-fp16__TurboQuant__16000,/workspace/viet-llm-kvcache-benchmark/results/template_log_real_run_mistral_final_generated.jsonl,,0.0,MISSING_TEXT,no matching JSONL record,False,False,,,,,template_log_real_run_mistral_final_all.csv
