model,kv_cache_type,context_length,peak_memory_mb,latency_ms_per_token,throughput_tokens_per_s,perplexity,status,sample_id,output_path,ppl_loss,ppl_tokens,ppl_status,ppl_error,repetition_flag,gibberish_flag,repeated_ngram_ratio,special_char_ratio,output_length,quality_warning
qwen3:8b-fp16,PolarQuant,8000,70870.12,11.47,87.2,1.4136,OK,qwen3:8b-fp16__PolarQuant__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.346121,512,OK,,true,false,0.179,0.0407,437.5,repetition
qwen3:8b-fp16,PolarQuant,16000,71756.12,18.79,53.23,1.2914,OK,qwen3:8b-fp16__PolarQuant__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.255757,512,OK,,true,false,0.3663,0.0489,430.5,repetition
qwen3:8b-fp16,TurboQuant,4000,69640.12,10.5,95.25,1.4659,OK,qwen3:8b-fp16__TurboQuant__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.382486,512,OK,,true,false,0.4051,0.0696,385.75,repetition
qwen3:8b-fp16,TurboQuant,8000,70072.12,14.3,69.93,1.2995,OK,qwen3:8b-fp16__TurboQuant__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.261985,512,OK,,true,false,0.5303,0.0235,445.5,repetition
qwen3:8b-fp16,TurboQuant,16000,71406.12,24.17,41.37,1.3206,OK,qwen3:8b-fp16__TurboQuant__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.278072,512,OK,,true,false,0.2538,0.0614,439.5,repetition
qwen2.5:7b-instruct-fp16,FP16,4000,70004.12,7.83,127.72,1.6198,OK,qwen2.5:7b-instruct-fp16__FP16__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.482309,512,OK,,true,false,0.3548,0.0315,440.5,repetition
qwen2.5:7b-instruct-fp16,FP16,8000,70338.12,10.0,100.01,1.4396,OK,qwen2.5:7b-instruct-fp16__FP16__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.364397,512,OK,,true,false,0.3438,0.0385,429.5,repetition
qwen2.5:7b-instruct-fp16,FP16,16000,71544.12,15.84,63.12,1.5134,OK,qwen2.5:7b-instruct-fp16__FP16__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.414361,512,OK,,true,false,0.2632,0.0317,469.0,repetition
qwen2.5:7b-instruct-fp16,FP8,4000,70420.12,7.94,125.95,3.4267,OK,qwen2.5:7b-instruct-fp16__FP8__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.231593,507,OK,,true,false,0.3745,0.0335,438.0,repetition
qwen2.5:7b-instruct-fp16,FP8,8000,70752.12,11.75,85.09,6.586,OK,qwen2.5:7b-instruct-fp16__FP8__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.884946,323,OK,,true,true,0.2242,0.2959,203.75,repetition;gibberish
qwen2.5:7b-instruct-fp16,FP8,16000,71978.12,16.01,62.47,2.5638,OK,qwen2.5:7b-instruct-fp16__FP8__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.941509,452,OK,,true,true,0.4833,0.1131,192.75,repetition;gibberish
qwen2.5:7b-instruct-fp16,HQQ,4000,70188.12,12.92,77.38,3.2004,OK,qwen2.5:7b-instruct-fp16__HQQ__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.163274,508,OK,,true,true,0.6129,0.011,170.5,repetition;gibberish
qwen2.5:7b-instruct-fp16,HQQ,8000,70688.12,20.89,47.86,11.7677,OK,qwen2.5:7b-instruct-fp16__HQQ__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,2.465358,349,OK,,true,true,0.3145,0.0207,175.5,repetition;gibberish
qwen2.5:7b-instruct-fp16,HQQ,16000,72090.12,50.03,19.99,18.9821,OK,qwen2.5:7b-instruct-fp16__HQQ__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,2.943498,483,OK,,true,false,0.2367,0.0198,250.25,repetition
qwen2.5:7b-instruct-fp16,PolarQuant,4000,70532.12,8.04,124.45,3.4267,OK,qwen2.5:7b-instruct-fp16__PolarQuant__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.231593,507,OK,,true,false,0.3745,0.0335,438.0,repetition
qwen2.5:7b-instruct-fp16,PolarQuant,8000,70808.12,10.16,98.42,4.0582,OK,qwen2.5:7b-instruct-fp16__PolarQuant__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,1.400731,494,OK,,true,true,0.4321,0.1331,195.75,repetition;gibberish
qwen2.5:7b-instruct-fp16,PolarQuant,16000,71978.12,16.0,62.5,2.6307,OK,qwen2.5:7b-instruct-fp16__PolarQuant__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.967265,507,OK,,true,false,0.4498,0.008,318.25,repetition
qwen2.5:7b-instruct-fp16,TurboQuant,4000,70040.12,9.15,109.3,1.6357,OK,qwen2.5:7b-instruct-fp16__TurboQuant__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.492075,512,OK,,true,false,0.3595,0.0389,428.5,repetition
qwen2.5:7b-instruct-fp16,TurboQuant,8000,70356.12,12.19,82.05,1.3041,OK,qwen2.5:7b-instruct-fp16__TurboQuant__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.265495,512,OK,,true,false,0.4744,0.0296,403.25,repetition
qwen2.5:7b-instruct-fp16,TurboQuant,16000,71564.12,19.87,50.33,1.4597,OK,qwen2.5:7b-instruct-fp16__TurboQuant__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_generated.jsonl,0.378204,512,OK,,true,false,0.3528,0.0381,444.25,repetition
phi4:mini-reasoning,FP16,4000,69562.12,6.49,154.02,2.257,OK,phi4:mini-reasoning__FP16__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,0.814023,511,OK,,false,false,0.0799,0.0591,403.25,
phi4:mini-reasoning,FP16,8000,69780.12,9.26,107.99,1.6809,OK,phi4:mini-reasoning__FP16__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,0.519351,512,OK,,true,false,0.2019,0.0387,446.5,repetition
phi4:mini-reasoning,FP16,16000,70790.12,16.88,59.23,2.2228,OK,phi4:mini-reasoning__FP16__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,0.798758,509,OK,,false,false,0.1092,0.0351,403.5,
phi4:mini-reasoning,FP8,4000,69996.12,5.34,187.36,2.7757,OK,phi4:mini-reasoning__FP8__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.020914,512,OK,,true,false,0.1518,0.0525,407.25,repetition
phi4:mini-reasoning,FP8,8000,70194.12,6.92,144.51,2.8724,OK,phi4:mini-reasoning__FP8__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.055151,508,OK,,true,false,0.2086,0.0368,419.0,repetition
phi4:mini-reasoning,FP8,16000,71204.12,11.28,88.65,2.7623,OK,phi4:mini-reasoning__FP8__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.016076,511,OK,,false,false,0.0609,0.0598,412.25,
phi4:mini-reasoning,PolarQuant,4000,70508.12,5.27,189.71,2.7757,OK,phi4:mini-reasoning__PolarQuant__4000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.020914,512,OK,,true,false,0.1518,0.0525,407.25,repetition
phi4:mini-reasoning,PolarQuant,8000,70514.12,6.83,146.51,2.8724,OK,phi4:mini-reasoning__PolarQuant__8000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.055151,508,OK,,true,false,0.2086,0.0368,419.0,repetition
phi4:mini-reasoning,PolarQuant,16000,71224.12,11.24,88.94,2.7623,OK,phi4:mini-reasoning__PolarQuant__16000,/workspace/viet-llm-kvcache-benchmark/scripts/test/../../results/template_log_real_run_extra_generated.jsonl,1.016076,511,OK,,false,false,0.0609,0.0598,412.25,
gemma3:4b-it,FP16,4000,70104.12,7.15,139.88,,OK,gemma3:4b-it__FP16__4000,../../results/template_log_real_run_extra_generated.jsonl,,,,,,,,,,
gemma3:4b-it,FP16,8000,70376.12,12.81,78.04,,OK,gemma3:4b-it__FP16__8000,../../results/template_log_real_run_extra_generated.jsonl,,,,,,,,,,
gemma3:4b-it,FP16,16000,71342.12,12.06,82.9,,OK,gemma3:4b-it__FP16__16000,../../results/template_log_real_run_extra_generated.jsonl,,,,,,,,,,
